OBJECTID,GEOID10,NAME10,PLNG_REGION,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,Urban,Rural,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,HUNVFlag,GroupQuartersFlag,OHU2010,NUMGQTRS,PCTGQTRS,LowIncomeTracts,POP2010,UATYP10,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lahunvhalf,lahunvhalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lahunv1,lahunv1share,GlobalID
1,13045910103,9101.03,ARC 20,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1733,0,0,0,5020,R,4560.0507543,0.90837664,928.64325511,0.1849887,1330.18137361,0.89214042,427.29389082,0.95591474,32.93604156,0.01900522,4168.82856374,0.83044394,832.2442071,0.1657857,1212.09242305,0.81293925,388.42915152,0.86896902,30.59859927,0.01765643,{5550A054-FDCE-4733-8B0C-A1947228CE5D}
2,13045910104,9101.04,ARC 20,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,3181,0,0,0,9273,U,8923.35800325,0.96229462,2873.06368308,0.30983109,2623.87755745,0.96929352,748.31259789,0.93773509,141.61867454,0.04452017,8424.50634593,0.90849847,2714.58041478,0.29274026,2531.80493496,0.93528073,613.91395682,0.76931574,105.39525888,0.03313274,{C6FF347E-7A0E-49CC-95F8-6442CAB49326}
3,13045910502,9105.02,ARC 20,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1001,6,0.0020548,1,2920,C,2903.44216849,0.99432951,2388.11573067,0.81784785,657.22674944,0.99278965,211.60039285,0.99811506,261.95512177,0.26169343,1979.49636886,0.67790972,1634.14369549,0.55963825,394.28595284,0.59559812,108.87460994,0.51355948,141.63853523,0.14149704,{59E4487C-A509-45FF-95E5-D3C0BBE650BB}
4,13045910800,9108,ARC 20,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1460,0,0,1,3974,R,3974.00002588,1.00000001,1557.33515186,0.39188101,958.00000623,1.00000001,491.00000181,1,41.47089769,0.02840472,3974.00002588,1.00000001,1557.33515186,0.39188101,958.00000623,1.00000001,491.00000181,1,41.47089769,0.02840472,{B14B7E5F-B673-439E-9C6E-638AD0B38A33}
5,13045910101,9101.01,ARC 20,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,2262,7,0.0011806,1,5929,U,4519.48360528,0.76226743,2164.54799697,0.36507809,1256.99007563,0.74422148,415.74026465,0.76563585,141.6052062,0.06260177,1464.66825287,0.24703462,738.4955382,0.12455651,400.6002528,0.23718191,153.51781529,0.28272158,61.47118829,0.02717559,{C3D7DA7F-5468-4F0E-A705-CA99B9E57806}
6,13045910200,9102,ARC 20,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,4091,3,0.0002558,0,11728,U,11061.71386705,0.94318843,3480.1972432,0.2967426,3138.15057536,0.94750923,1012.74606874,0.92488225,110.63759228,0.02704414,9346.65835715,0.79695245,2933.6379502,0.25013966,2588.38251015,0.78151646,878.320414,0.8021191,90.95418512,0.02223275,{68A7D1D7-2258-4893-A214-168B6A59D4C3}
7,13045910900,9109,ARC 20,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1372,0,0,0,3891,R,3890.9999689,0.99999999,1206.90433569,0.31017845,995.99999082,0.99999999,424.99999916,1,44.14708548,0.03217718,3890.9999689,0.99999999,1206.90433569,0.31017845,995.99999082,0.99999999,424.99999916,1,44.14708548,0.03217718,{62804BAE-BE05-4B1E-A0C3-B757E5EDDC3E}
8,13045910300,9103,ARC 20,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,2213,0,0,1,6310,R,6292.5485568,0.99723432,2730.35247158,0.43270245,1687.42748154,0.99729757,705.69952653,0.993943,120.66637883,0.05452615,6263.92180224,0.99269759,2715.58649028,0.43036236,1680.54922709,0.9932324,700.95420323,0.98725944,119.92939236,0.05419313,{9F9F8444-46BA-47B7-85C9-488314D8C0C4}
9,13045911100,9111,ARC 20,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,2947,119,0.0170219,1,6991,C,6293.83484151,0.90027676,2773.95453787,0.39678938,1383.00510158,0.90748366,1161.4130075,0.86479003,134.123189,0.04551177,4149.5838948,0.59356085,1926.07075508,0.27550719,959.65872602,0.62969733,673.26229183,0.50131221,33.80288395,0.01147027,{FBD6B0EB-0998-41C8-8281-2DF74B210199}
10,13045911000,9110,ARC 20,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,2277,21,0.0034108,0,6157,C,5580.62539173,0.9063871,2098.4846598,0.34082908,1572.18890977,0.91726307,614.5110933,0.88038839,167.92589664,0.07374875,3470.73604365,0.56370571,1196.4842762,0.1943291,932.91986288,0.54429397,403.82763843,0.57854963,64.5340054,0.02834168,{A652755F-496A-4A95-8F6D-019EB0C4D41A}
