OBJECTID,GEOID10,NAME10,PLNG_REGION,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,Urban,Rural,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,HUNVFlag,GroupQuartersFlag,OHU2010,NUMGQTRS,PCTGQTRS,LowIncomeTracts,POP2010,UATYP10,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lahunvhalf,lahunvhalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lahunv1,lahunv1share,GlobalID
1,13045910103,9101.03,ARC 20,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1733,0,0,0,5020,R,4560.050754,0.90837664,928.6432551,0.1849887,1330.181374,0.89214042,427.2938908,0.95591474,32.93604156,0.01900522,4168.828564,0.83044394,832.2442071,0.1657857,1212.092423,0.81293925,388.4291515,0.86896902,30.59859927,0.01765643,{5550A054-FDCE-4733-8B0C-A1947228CE5D}
2,13045910104,9101.04,ARC 20,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,3181,0,0,0,9273,U,8923.358003,0.96229462,2873.063683,0.30983109,2623.877557,0.96929352,748.3125979,0.93773509,141.6186745,0.04452017,8424.506346,0.90849847,2714.580415,0.29274026,2531.804935,0.93528073,613.9139568,0.76931574,105.3952589,0.03313274,{C6FF347E-7A0E-49CC-95F8-6442CAB49326}
3,13045910502,9105.02,ARC 20,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1001,6,0.0020548,1,2920,C,2903.442168,0.99432951,2388.115731,0.81784785,657.2267494,0.99278965,211.6003929,0.99811506,261.9551218,0.26169343,1979.496369,0.67790972,1634.143695,0.55963825,394.2859528,0.59559812,108.8746099,0.51355948,141.6385352,0.14149704,{59E4487C-A509-45FF-95E5-D3C0BBE650BB}
4,13045910800,9108,ARC 20,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1460,0,0,1,3974,R,3974.000026,1.00000001,1557.335152,0.39188101,958.0000062,1.00000001,491.0000018,1,41.47089769,0.02840472,3974.000026,1.00000001,1557.335152,0.39188101,958.0000062,1.00000001,491.0000018,1,41.47089769,0.02840472,{B14B7E5F-B673-439E-9C6E-638AD0B38A33}
5,13045910101,9101.01,ARC 20,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,2262,7,0.0011806,1,5929,U,4519.483605,0.76226743,2164.547997,0.36507809,1256.990076,0.74422148,415.7402647,0.76563585,141.6052062,0.06260177,1464.668253,0.24703462,738.4955382,0.12455651,400.6002528,0.23718191,153.5178153,0.28272158,61.47118829,0.02717559,{C3D7DA7F-5468-4F0E-A705-CA99B9E57806}
6,13045910200,9102,ARC 20,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,4091,3,0.0002558,0,11728,U,11061.71387,0.94318843,3480.197243,0.2967426,3138.150575,0.94750923,1012.746069,0.92488225,110.6375923,0.02704414,9346.658357,0.79695245,2933.63795,0.25013966,2588.38251,0.78151646,878.320414,0.8021191,90.95418512,0.02223275,{68A7D1D7-2258-4893-A214-168B6A59D4C3}
7,13045910900,9109,ARC 20,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1372,0,0,0,3891,R,3890.999969,0.99999999,1206.904336,0.31017845,995.9999908,0.99999999,424.9999992,1,44.14708548,0.03217718,3890.999969,0.99999999,1206.904336,0.31017845,995.9999908,0.99999999,424.9999992,1,44.14708548,0.03217718,{62804BAE-BE05-4B1E-A0C3-B757E5EDDC3E}
8,13045910300,9103,ARC 20,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,2213,0,0,1,6310,R,6292.548557,0.99723432,2730.352472,0.43270245,1687.427482,0.99729757,705.6995265,0.993943,120.6663788,0.05452615,6263.921802,0.99269759,2715.58649,0.43036236,1680.549227,0.9932324,700.9542032,0.98725944,119.9293924,0.05419313,{9F9F8444-46BA-47B7-85C9-488314D8C0C4}
9,13045911100,9111,ARC 20,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,2947,119,0.0170219,1,6991,C,6293.834842,0.90027676,2773.954538,0.39678938,1383.005102,0.90748366,1161.413008,0.86479003,134.123189,0.04551177,4149.583895,0.59356085,1926.070755,0.27550719,959.658726,0.62969733,673.2622918,0.50131221,33.80288395,0.01147027,{FBD6B0EB-0998-41C8-8281-2DF74B210199}
10,13045911000,9110,ARC 20,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,2277,21,0.0034108,0,6157,C,5580.625392,0.9063871,2098.48466,0.34082908,1572.18891,0.91726307,614.5110933,0.88038839,167.9258966,0.07374875,3470.736044,0.56370571,1196.484276,0.1943291,932.9198629,0.54429397,403.8276384,0.57854963,64.5340054,0.02834168,{A652755F-496A-4A95-8F6D-019EB0C4D41A}
