,"Population, tract total","Low access, low-income population at 1/2 mile, share","Housing units, total",Low access tract at 1 mile for urban areas and 20 miles for rural areas,Low access tract at 10 miles,"Low access, low-income population at 1 mile, share",Low access tract at 1/2 mile for urban areas and 10 miles for rural areas,"Low access, population at 1 mile, share",Low access tract at 1/2 mile,"Low access, population at 1 mile, number","Low access, low-income population at 1 mile, number","Low access, population at 1/2 mile, number",Low access tract at 1 mile,"Low access, population at 1/2 mile, share",Low income tract,Low access tract at 1 mile for urban areas and 10 miles for rural areas,#N/A,Urban tract,#N/A,#N/A,"Low access, low-income population at 1/2 mile, number",Low income and low access tract measured at 1 mile for urban areas and 10 miles for rural areas,Low access tract at 20 miles,Low income and low access tract measured at 1/2 mile for urban areas and 10 miles for rural areas
,POP2010,lalowihalfshare,OHU2010,LA1and20,LATracts10,lalowi1share,LAhalfand10,lapop1share,LATracts_half,lapop1,lalowi1,lapophalf,LATracts1,lapophalfshare,LowIncomeTracts,LA1and10,GEOID10,Urban,NAME10,PLNG_REGION,lalowihalf,LILATracts_1And10,LATracts20,LILATracts_halfAnd10
17,5530,0.02496166,2208,1,0,0.01480552,1,0.56155795,1,3105.415489,81.87453209,4737.417269,1,0.85667582,0,1,13113140207,1,1402.07,ARC 10,138.0379807,0,0,0
18,7713,0.13043232,2749,1,0,0.0684622,1,0.42160049,1,3251.804581,528.048979,6536.637064,1,0.84748309,0,1,13113140208,1,1402.08,ARC 10,1006.024462,0,0,0
19,4550,0.11576703,1702,1,0,0.0571026,1,0.41773584,1,1900.698065,259.8168478,3984.209043,1,0.87565034,0,1,13113140303,1,1403.03,ARC 10,526.7399813,0,0,0
20,5757,0.15845878,2231,1,0,0.11531471,1,0.5588444,1,3217.267229,663.8668004,4915.826453,1,0.85388683,0,1,13113140304,1,1403.04,ARC 10,912.2471859,0,0,0
22,3239,0.12717227,1095,1,0,0.12717227,1,0.99999998,1,3238.999945,411.9109831,3238.999945,1,0.99999998,0,1,13113140408,1,1404.08,ARC 10,411.9109831,0,0,0
23,7707,0.23789068,2924,1,0,0.16286076,1,0.57852404,1,4458.684751,1255.167891,6968.408133,1,0.9041661,0,1,13113140407,1,1404.07,ARC 10,1833.423443,0,0,0
24,3441,0.07463372,1196,1,0,0.05958205,1,0.74631203,1,2568.059684,205.0218176,3185.554585,1,0.92576419,0,1,13113140405,1,1404.05,ARC 10,256.8146316,0,0,0
25,5533,0.15492131,2014,1,0,0.12439238,1,0.59796974,1,3308.566586,688.2630399,4648.987928,1,0.84022916,0,1,13113140404,1,1404.04,ARC 10,857.179581,0,0,0
26,4465,0.06593745,1625,1,0,0.01443448,1,0.18742066,1,836.8332564,64.44993769,3024.434147,1,0.67736487,0,1,13113140206,1,1402.06,ARC 10,294.4107278,0,0,0
27,5743,0.17504156,1992,1,0,0.12323843,1,0.60318868,1,3464.11258,707.7583211,5291.931732,1,0.92145773,0,1,13113140203,1,1402.03,ARC 10,1005.263672,0,0,0
30,5282,0.13874676,1938,1,0,0.06811736,1,0.53681958,1,2835.481028,359.7959192,4338.304348,1,0.82133744,0,1,13113140403,1,1404.03,ARC 10,732.8603929,0,0,0
32,7234,0.06234372,2674,1,0,0.02501338,1,0.50682221,1,3666.351842,180.9468009,6205.786448,1,0.85786376,0,1,13113140306,1,1403.06,ARC 10,450.9944413,0,0,0
33,5436,0.14560884,2010,1,0,0.11470542,1,0.75350137,1,4096.033438,623.5386465,5207.382944,1,0.95794388,0,1,13113140102,1,1401.02,ARC 10,791.5296447,0,0,0
34,7407,0.20962561,2588,1,0,0.20962561,1,0.99999999,1,7406.999956,1552.696891,7406.999956,1,0.99999999,0,1,13113140101,1,1401.01,ARC 10,1552.696891,0,0,0
37,5643,0.24444913,1991,1,0,0.19735007,1,0.68320017,1,3855.298535,1113.646437,5311.053768,1,0.94117557,0,1,13247060404,1,604.04,ARC 10,1379.426441,0,0,0
38,5591,0.22721829,2259,1,0,0.06853359,1,0.27789106,1,1553.688914,383.1712762,4394.124867,1,0.78592825,1,1,13247060304,1,603.04,ARC 10,1270.377437,1,0,1
39,3446,0.27842445,1237,1,0,0.26164602,1,0.94780043,1,3266.120292,901.6321759,3446.000032,1,1.00000001,0,1,13247060101,1,601.01,ARC 10,959.4506649,0,0,0
40,9561,0.2607726,3449,1,0,0.25880396,1,0.99106921,1,9475.612719,2474.424684,9551.839009,1,0.99904184,0,1,13247060202,1,602.02,ARC 10,2493.246868,0,0,0
42,2705,0.24638365,942,1,0,0.13108768,1,0.47898109,1,1295.643854,354.592161,2435.205704,1,0.90026089,0,1,13247060306,1,603.06,ARC 10,666.4677653,0,0,0
43,3294,0.17650297,1189,1,0,0.08037544,1,0.64024855,1,2108.978725,264.7567016,3203.148093,1,0.97241897,0,1,13247060407,1,604.07,ARC 10,581.4007724,0,0,0
45,5323,0.16837891,1883,1,0,0.11876817,1,0.59603453,1,3172.69181,632.2029804,4687.662993,1,0.88064306,0,1,13247060406,1,604.06,ARC 10,896.2809637,0,0,0
